"File","Reason"
"P1.2Trial1.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial2.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial3.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial4.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial5.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial6.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial7.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial8.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial9.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial10.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial11.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial12.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial13.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial14.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial15.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial16.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial17.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial18.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial19.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial20.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial21.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial23.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial24.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial25.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial26.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial27.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial28.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial29.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial30.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial31.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial32.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial33.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial34.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial35.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial36.trc","Could not find TRC header row (Frame Time)"
"P1.2Trial37.trc","Could not find TRC header row (Frame Time)"
